group_id,threshold,accuracy_score,precision_score,recall,harmonic_mean
1016,0.7,94,0.93,0.87,0.9
1016,0.5,95,0.93,0.9,0.91
1001,0.7,91,0.96,0.73,0.83
1001,0.5,93,0.96,0.8,0.87
1012,0.7,88,0.95,0.63,0.76
1012,0.5,96,0.96,0.9,0.93
1005,0.7,89,0.85,0.77,0.81
1005,0.5,96,0.91,0.97,0.94
1017,0.5,94,0.96,0.83,0.89
1017,0.7,91,0.96,0.73,0.83
1003,0.5,97,0.94,0.97,0.95
1003,0.7,96,0.93,0.93,0.93
1014,0.5,99,0.97,1.0,0.98
1014,0.7,99,0.97,1.0,0.98
1018,0.5,69,0.4,0.07,0.12
1018,0.7,30,0.24,0.6,0.34
1007,0.5,94,0.96,0.83,0.89
1007,0.7,87,0.95,0.6,0.74
1019,0.5,98,0.97,0.97,0.97
1019,0.7,95,0.96,0.87,0.91
1006,0.5,97,0.97,0.93,0.95
1006,0.7,90,0.95,0.7,0.81
1008,0.5,98,0.97,0.97,0.97
1008,0.7,96,0.96,0.9,0.93
1002,0.5,72,1.0,0.07,0.13
1013,0.5,97,0.97,0.93,0.95
1013,0.7,90,0.95,0.7,0.81
1004,0.5,97,0.97,0.93,0.95
1004,0.7,90,1.0,0.67,0.8
1015,0.5,96,0.93,0.93,0.93
1015,0.7,96,0.96,0.9,0.93
1011,0.5,34,0.29,0.8,0.43
1011,0.7,64,0.33,0.2,0.25
